ApName,Super Build／SS7,,,,,,,,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,,,,,,,,
工事名,（仮称）ドラッグコスモス人吉店　新築工事,,,,,,,,,,,,,,,,,,,,,,,
略称,コスモス人吉店,,,,,,,,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,,,,,,,,
出力日時,2020/9/30 9:41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,,,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
Fc21(普通),21,7,,0.7,14,,1.05,1.14,1.43,<RE>,,,,,,,,,,,,,,
"SD295A(D13,D16)",295,195,195,195,295,295,295,,,<RE>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,基礎柱,,,,,,,,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,,,,,,,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,,,,,,,,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,mm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,偏心,0.1,0.2,0.3,0.1,-0.1,-0.1,0.1,<RE>,,,,,,,,,
1,7,D,E,FG1,1,6315,上部,3.8,-1.2,1.4,0.9,-0.9,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.2,-0.3,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,8,D,E,FG1,1,6315,上部,3.7,-1.2,1.4,0.8,-0.8,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.5,1,0.2,-0.2,0.1,-0.1,<RE>,,,,,,,,,
1,9,B,b2,FG32a,1,10355,上部,0.3,-0.1,0.2,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,-4.2,-8.4,-0.9,0.9,0.1,-0.1,<RE>,,,,,,,,,
1,9,b2,C,FG32,1,7040,上部,0.3,-0.1,0.3,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-17.8,6.2,-5.5,-3.6,3.6,0.1,-0.1,<RE>,,,,,,,,,
1,9,C,c1,FG32,1,7660,上部,0.3,0.1,0.3,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,5.9,1.4,8.6,2.1,-2.1,-0.1,0.1,<RE>,,,,,,,,,
1,9,c1,D,FG32,1,4045,上部,0.3,-0.1,0.2,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,15.6,-6.3,3.2,4.7,-4.7,-0.1,0.1,<RE>,,,,,,,,,
1,9,D,E,FG32,1,6315,上部,0.2,0.1,0.3,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-3.2,1.8,0.3,-0.5,0.5,-0.1,0.1,<RE>,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=G+P,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,198,0,0,-0.001,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,18.5,0,0,0.00004,0.00062,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,272.5,0,0,0.0004,-0.00034,,,,,,,,,,,,,,,,
,,,偏心,1.9,0,0,0.00001,0.00003,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,127.7,0,0,-0.00012,-0.00059,,,,,,,,,,,,,,,,
,,,偏心,-1,0,0,0,0.00004,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,285.7,0,0,-0.00053,-0.00038,,,,,,,,,,,,,,,,
,,,偏心,-25.2,0,0,-0.00002,-0.00003,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,276,0,0,-0.00009,0.00036,,,,,,,,,,,,,,,,
,,,偏心,-7.2,0,0,0.00006,-0.00001,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,360.6,0,-3.6,0.00009,0,,,,,,,,,,,,,,,,
,,,偏心,-7.8,0,-0.5,-0.00021,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,350,0,-4.5,-0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,-4.7,0,0,-0.00003,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,370.9,0,-4.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,17.1,0,0,-0.00008,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,359.4,0,-4,0,0,,,,,,,,,,,,,,,,
,,,偏心,23,0,0,0.00008,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,385.8,0,-3.7,-0.00003,0,,,,,,,,,,,,,,,,
,,,偏心,-17.2,0,-0.5,0.00006,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,253.1,0,0,0.00013,-0.00038,,,,,,,,,,,,,,,,
,,,偏心,-8,0,0,-0.00002,0.00003,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,318.2,-0.5,0,0,0.00023,,,,,,,,,,,,,,,,
,,,偏心,-2.4,0.2,0,0,-0.00018,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,352.6,-0.5,0,0,0.00016,,,,,,,,,,,,,,,,
,,,偏心,-17,0.3,0,0,-0.00008,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,250.4,0,0,-0.00051,-0.0001,,,,,,,,,,,,,,,,
,,,偏心,6.7,0,0,0,0.00008,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,248,0,1,0.00015,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.6,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,238.2,0,1.1,-0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,236.7,0,1.6,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,232.6,0,2.4,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,227.5,0,2.8,0.00004,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,239.5,0,3.2,-0.00014,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0.3,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,289,0,0,0.00049,-0.00006,,,,,,,,,,,,,,,,
,,,偏心,10.2,0,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,208.8,-0.9,0,0,0.00011,,,,,,,,,,,,,,,,
,,,偏心,6.7,-0.4,0,0,-0.00014,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,220.9,-0.9,0,0,0.00005,,,,,,,,,,,,,,,,
,,,偏心,4.5,-0.4,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,269.2,0,0,-0.00064,-0.00009,,,,,,,,,,,,,,,,
,,,偏心,-11.8,0,0,0.00002,0.00015,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,245,0,0,0.00019,-0.00055,,,,,,,,,,,,,,,,
,,,偏心,-0.4,0,0,0,0.00002,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,244.7,0,0,-0.00003,-0.00057,,,,,,,,,,,,,,,,
,,,偏心,-0.9,0,0,0,0.00008,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,236.8,0,0,0.00001,-0.00057,,,,,,,,,,,,,,,,
,,,偏心,-13.7,0,0,0,0.0005,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,232.7,0,0,-0.00001,-0.00059,,,,,,,,,,,,,,,,
,,,偏心,-14.4,0,0,0,0.00057,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,221.3,0,0,0.00005,-0.00057,,,,,,,,,,,,,,,,
,,,偏心,-15.5,0,0,0,0.0006,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,234.9,0,0,-0.00016,-0.00058,,,,,,,,,,,,,,,,
,,,偏心,-15.4,0,0,0,0.00056,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,232.8,0,0,0.00057,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-11.7,0,0,0.00001,0.00003,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,203.8,0,0,-0.00039,0.00018,,,,,,,,,,,,,,,,
,,,偏心,3.9,0,0,0.00009,-0.00025,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,351.3,0,0,0.00011,0.00055,,,,,,,,,,,,,,,,
,,,偏心,-13.1,0,0,-0.00016,-0.00005,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,321.9,0,0,-0.00002,0.00056,,,,,,,,,,,,,,,,
,,,偏心,14.8,0,0,-0.0002,-0.00015,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,282.2,0,0,0,0.00056,,,,,,,,,,,,,,,,
,,,偏心,17.3,0,0,0,-0.00127,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,280.9,0,0,0,0.00057,,,,,,,,,,,,,,,,
,,,偏心,14,0,0,0,-0.00138,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,289.6,0,0,0,0.00055,,,,,,,,,,,,,,,,
,,,偏心,19.6,0,0,-0.00001,-0.00148,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,326.9,0,0,-0.00003,0.00055,,,,,,,,,,,,,,,,
,,,偏心,8.1,0,0,0.00004,-0.00143,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,202.8,0,0,0.00012,0.00009,,,,,,,,,,,,,,,,
,,,偏心,20.9,0,0,0.0001,-0.00014,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=S,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,15.4,0,0,0.00003,0,,,,,,,,,,,,,,,,
,,,偏心,2.4,0,0,0,0.00007,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,25.8,0,0,0,-0.00005,,,,,,,,,,,,,,,,
,,,偏心,0.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,7.1,0,0,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,23,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-3.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,55.7,0,0,0,0.00009,,,,,,,,,,,,,,,,
,,,偏心,-1.6,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,46.6,0,-4.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.9,0,-0.2,-0.00005,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,45.3,0,-5.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,45.7,0,-5.5,0,0,,,,,,,,,,,,,,,,
,,,偏心,4.1,0,0,-0.00001,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,45.8,0,-5.4,0,0,,,,,,,,,,,,,,,,
,,,偏心,4.6,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,46.3,0,-5.4,0,0,,,,,,,,,,,,,,,,
,,,偏心,-3.7,0,-0.1,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,15.9,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,27.1,-0.6,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.4,0.1,0,0,-0.00002,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,26.4,-0.6,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.9,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,23.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.9,0,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,103.3,0,2.9,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,101,0,2.9,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,99.6,0,2.9,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,97.1,0,3.4,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,97,0,3.5,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,98.3,0,3.6,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,22.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,18.2,-0.7,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.1,-0.1,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,17.7,-0.7,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.4,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,22.8,0,0,-0.00003,0,,,,,,,,,,,,,,,,
,,,偏心,-1.9,0,0,0,0.00002,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,44.6,0,0,0.00001,-0.00003,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,42.8,0,0,0,-0.00003,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,42.4,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-1.6,0,0,0,0.00005,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,44,0,0,0,-0.00006,,,,,,,,,,,,,,,,
,,,偏心,-1.7,0,0,0,0.00006,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,43.9,0,0,0,-0.00006,,,,,,,,,,,,,,,,
,,,偏心,-1.7,0,0,0,0.00006,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,44.3,0,0,0,-0.00006,,,,,,,,,,,,,,,,
,,,偏心,-1.5,0,0,0,0.00005,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,15.6,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.4,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,19.7,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.7,0,0,0.00001,-0.00003,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,26.1,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,-1.7,0,0,-0.00002,0,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,21.2,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,1.9,0,0,-0.00002,-0.00001,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,19.3,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,2.1,0,0,0,-0.00014,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,19.5,0,0,0,0.00003,,,,,,,,,,,,,,,,
,,,偏心,1.7,0,0,0,-0.00015,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,19.7,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,2,0,0,0,-0.00015,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,19.9,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.9,0,0,0,-0.00013,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,9.7,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.6,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=WX+,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,-17.8,0,0,-0.00006,0.00001,,,,,,,,,,,,,,,,
,,,偏心,-2.7,0,0,0,-0.00009,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,-23.5,0,0,0.00002,0.00008,,,,,,,,,,,,,,,,
,,,偏心,-0.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,-3.9,0,0,-0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,-26.6,0,0,-0.00003,0,,,,,,,,,,,,,,,,
,,,偏心,3.7,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,-45.9,0,0,0,-0.0001,,,,,,,,,,,,,,,,
,,,偏心,1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,-28.1,0,2.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.6,0,0.1,0.00002,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,-50.6,0,2.7,0,0,,,,,,,,,,,,,,,,
,,,偏心,2,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,-27.4,0,2.8,0,0,,,,,,,,,,,,,,,,
,,,偏心,-4.8,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,-27.4,0,2.8,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.9,0,0,-0.00001,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,-4.3,0,2.8,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.5,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,-9,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,-27,6,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,-0.1,0,0,0.00002,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,-12.7,3.5,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,-27.9,0,0,-0.00008,0,,,,,,,,,,,,,,,,
,,,偏心,-0.5,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,-84.9,0,-1.8,0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,-59.7,0,-1.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,-58.3,0,-1.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,-57.1,0,-1.5,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,-56.7,0,-1.5,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,-58.4,0,-1.5,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,-12.9,0,0,-0.00004,0,,,,,,,,,,,,,,,,
,,,偏心,-0.4,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,-23.8,4.7,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.6,0.1,0,0,0.00002,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,-13.1,2.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,-29.9,0,0,0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,2.7,0,0,0,-0.00002,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,-37.1,0,0,0,0.00003,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,-25.3,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,-25.2,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.9,0,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,-50.3,0,0,0,0.00003,,,,,,,,,,,,,,,,
,,,偏心,1.2,0,0,0,-0.00004,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,-26.2,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,2.3,0,0,0,-0.00007,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,-2.6,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.4,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,-9.3,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.7,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,-26.2,0,0,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-1.2,0,0,-0.00001,0.00004,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,-23.4,0,0,0,-0.00003,,,,,,,,,,,,,,,,
,,,偏心,1.2,0,0,0.00002,0,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,-12.5,0,0,0,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,-1.7,0,0,0.00001,0.00001,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,-11.1,0,0,0,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,-0.8,0,0,0,0.00008,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,-11.2,0,0,0,-0.00003,,,,,,,,,,,,,,,,
,,,偏心,-2.2,0,0,0,0.00011,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,-34.4,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,-0.00001,0.00019,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,12.1,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-1.9,0,0,0,-0.00002,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,-5.4,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.6,0,0,0,0,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=WX-,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,-8.6,0,0,0.00001,0.00001,,,,,,,,,,,,,,,,
,,,偏心,-1.4,0,0,0,-0.00004,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,-14.9,0,0,0,0.00005,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,-5.5,0,0,0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,-13.1,0,0,0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,1.8,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,-33,0,0,0,-0.00007,,,,,,,,,,,,,,,,
,,,偏心,1.1,0,0,-0.00001,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,-27.8,0,2.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.8,0,0.1,0.00003,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,-5.1,0,2.7,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.8,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,-27.4,0,2.8,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,-27.5,0,2.7,0,0,,,,,,,,,,,,,,,,
,,,偏心,-5.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,-61.3,0,4.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,3.2,0,0.1,-0.00001,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,-18.3,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.8,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,-15.7,-3.5,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,-0.1,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,-23.8,-5.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.9,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,-13.1,0,0,0.00004,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,-61.8,0,-1.2,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,-59.1,0,-1.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,-58.5,0,-1.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,-56.8,0,-1.5,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,-57.3,0,-1.6,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
