ApName,Super Build／SS7,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,
工事名,佐川急便株式会社九州航空営業所新築工事,,,,,,,,,,,,,,
略称,倉庫棟,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,
出力日時,2020/9/1 17:02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,
,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,
<data>,,,,,,,,,,,,,,,
Fc24(普通),24,8,,0.73,16,,1.1,1.2,1.5,<RE>,,,,,
SD295A(D13),295,195,195,195,295,295,295,,,<RE>,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,1,2,FG1,1,10644,上部,-3.8,0.4,-3.1,-0.7,0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,2,3,FG1,1,8136,上部,-2.8,0.1,-2.6,-0.7,0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,3,4,FG1,1,7765,上部,-2.4,0.1,-2.2,-0.6,0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,4,5,FG1,1,7765,上部,-2.8,-0.4,-3.5,-0.8,0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,5,6,FG1,1,10750,上部,-3,-0.1,-3.1,-0.6,0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,6,7,FG1,1,10760,上部,-2.6,0.3,-2.1,-0.5,0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,7,8,FG1,1,6770,上部,-2.1,0.2,-1.7,-0.6,0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,8,9,FG1,1,5940,上部,-4.1,-1.1,-6.1,-1.8,1.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,F,G,FG1,1,7080,上部,-28.5,4.7,-19.3,-6.8,6.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,G,H,FG1,1,8640,上部,-17.9,-4.9,-27.5,-5.3,5.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,F,G,FG1,1,7080,上部,-21.8,2.7,-16.5,-5.4,5.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,G,H,FG1,1,8640,上部,-17.7,-4.2,-26,-5.1,5.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,F,G,FG1,1,7080,上部,-21.4,3.3,-15,-5.2,5.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,G,H,FG1,1,8640,上部,-15.2,-4.1,-23.3,-4.5,4.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,F,G,FG1,1,7080,上部,-19.9,3.1,-13.8,-4.8,4.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,G,H,FG1,1,8640,上部,-14.1,-3.8,-21.7,-4.2,4.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,F,G,FG1,1,7080,上部,-17.2,2.4,-12.5,-4.2,4.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,G,H,FG1,1,8640,上部,-13.7,-3.6,-20.8,-4,4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,F,G,FG1,1,7080,上部,-13.7,1.3,-11.3,-3.6,3.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,G,H,FG1,1,8640,上部,-12.9,-2.7,-18.2,-3.6,3.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,A,B,FG1,1,8645,上部,-17.9,3.7,-10.5,-3.3,3.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,B,C,FG1,1,8075,上部,-5.9,-1.7,-9.3,-1.9,1.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,C,D,FG1,1,10750,上部,-7.9,0.8,-6.5,-1.4,1.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,D,E,FG1,1,10970,上部,-8.9,-1.9,-12.6,-2,2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,E,F,FG1,1,2780,上部,-12.6,9.6,6.6,-2.2,2.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,F,G,FG1,1,7080,上部,-6.6,0.5,-5.7,-1.8,1.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,G,H,FG1,1,8640,上部,-8.9,-4.3,-17.5,-3.1,3.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,A,B,FG1,1,8645,上部,-20.9,2.8,-15.4,-4.2,4.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,C,D,FG2,1,10750,上部,-16.7,0.6,-15.6,-3,3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,E,G,FG2,1,9860,上部,-16.8,4.5,-7.8,-2.5,2.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,G,H,FG1,1,8640,上部,-6.5,-4.1,-14.6,-2.5,2.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,A,B,FG1,1,8645,上部,-15.3,3.3,-8.9,-2.8,2.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,B,C,FG1,1,8075,上部,-4.4,-1.3,-6.9,-1.4,1.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,C,D,FG2,1,10750,上部,-6.9,0.2,-6.7,-1.3,1.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,D,E,FG2,1,10970,上部,-6.5,-0.1,-6.6,-1.2,1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,E,G,FG2,1,9860,上部,-6.3,0.6,-5.2,-1.2,1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,G,H,FG1,1,8640,上部,-8.7,-1.8,-12.3,-2.5,2.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WY-,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,
<data>,,,,,,,,,,,,,,,
1SL,A,7,8,FG1,1,6770,上部,-3.6,0.1,-3.5,-1.1,1.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,A,8,9,FG1,1,5940,上部,-6.4,-1.1,-8.5,-2.6,2.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,7,8,FG1,1,6770,上部,1.1,-1.3,-1.4,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,8,9,FG1,1,5940,上部,-6.8,-0.7,-8.1,-2.5,2.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,7,8,FG1,1,6770,上部,2.9,-1.7,-0.5,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,8,9,FG1,1,5940,上部,-6,-0.3,-6.6,-2.1,2.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,7,8,FG1,1,6770,上部,5.5,-2.3,0.9,1,-1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,8,9,FG1,1,5940,上部,-5.1,0.3,-4.6,-1.7,1.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,7,8,FG1,1,6770,上部,4.9,-1.7,1.6,1,-1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,8,9,FG1,1,5940,上部,-2.9,0.1,-2.8,-1,1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,1,2,FG1,1,10644,上部,-0.6,0.1,-0.4,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,2,3,FG1,1,8136,上部,-0.4,0.1,-0.3,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,3,4,FG1,1,7765,上部,0.3,0.3,0.8,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,4,5,FG1,1,7765,上部,-0.7,-0.9,-2.4,-0.4,0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,5,6,FG1,1,10750,上部,-0.2,1.3,2.3,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,6,7,FG1,1,10760,上部,2,-1,0,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,1,2,FG1,1,10644,上部,1.9,-0.7,0.6,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,3,4,FG1,1,7765,上部,1.6,-0.1,1.5,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,5,6,FG1,1,10750,上部,-0.4,0.6,0.8,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,7,8,FG1,1,6770,上部,5,-1.3,2.5,1.2,-1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,8,9,FG1,1,5940,上部,-1.5,-0.4,-2.3,-0.7,0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,1,2,FG1,1,10644,上部,2.8,-0.6,1.6,0.5,-0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,2,3,FG1,1,8136,上部,0.8,0.3,1.2,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,3,4,FG1,1,7765,上部,1.8,-0.1,1.8,0.5,-0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,4,5,FG1,1,7765,上部,1.3,-0.3,0.8,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,5,6,FG1,1,10750,上部,0.6,0.2,0.9,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,6,7,FG1,1,10760,上部,2,0.3,2.5,0.5,-0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,7,8,FG1,1,6770,上部,3.6,-0.8,2.2,0.9,-0.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,8,9,FG1,1,5940,上部,0.5,-0.1,0.5,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,F,G,FG1,1,7080,上部,25.9,-6.4,13.2,5.6,-5.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,G,H,FG1,1,8640,上部,14.6,7,28.5,5,-5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,F,G,FG1,1,7080,上部,25.6,-7.6,10.6,5.2,-5.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,G,H,FG1,1,8640,上部,13.4,8.3,29.8,5,-5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,F,G,FG1,1,7080,上部,24.9,-7,11,5.1,-5.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,G,H,FG1,1,8640,上部,11.4,6.9,25,4.3,-4.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,F,G,FG1,1,7080,上部,23.5,-6.7,10.1,4.8,-4.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,G,H,FG1,1,8640,上部,10.6,6.6,23.7,4,-4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,F,G,FG1,1,7080,上部,23.7,-7.1,9.6,4.7,-4.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,G,H,FG1,1,8640,上部,9.7,6.7,22.9,3.8,-3.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,F,G,FG1,1,7080,上部,23.1,-7.3,8.7,4.5,-4.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,G,H,FG1,1,8640,上部,8.2,6.5,21.1,3.4,-3.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,A,B,FG1,1,8645,上部,10.1,-0.9,8.4,2.2,-2.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,B,C,FG1,1,8075,上部,6.8,-0.1,6.6,1.7,-1.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,C,D,FG1,1,10750,上部,5.8,0.5,6.7,1.2,-1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,D,E,FG1,1,10970,上部,7.5,-0.1,7.3,1.4,-1.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,E,F,FG1,1,2780,上部,6.1,-4.7,-3.3,1,-1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,F,G,FG1,1,7080,上部,3.3,0.9,5.1,1.2,-1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,G,H,FG1,1,8640,上部,12.6,3.7,20,3.8,-3.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,A,B,FG1,1,8645,上部,10.8,1.9,14.5,3,-3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,C,D,FG2,1,10750,上部,11.8,0.9,13.5,2.4,-2.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,E,G,FG2,1,9860,上部,13.3,-3.9,5.6,2,-2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,G,H,FG1,1,8640,上部,8.9,5.5,19.8,3.4,-3.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,A,B,FG1,1,8645,上部,8.6,-0.9,7,1.9,-1.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,B,C,FG1,1,8075,上部,5.5,-0.1,5.5,1.4,-1.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,C,D,FG2,1,10750,上部,4.7,0.3,5.3,1,-1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,D,E,FG2,1,10970,上部,6.1,0.2,6.4,1.2,-1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,E,G,FG2,1,9860,上部,5.3,-1,3.4,0.9,-0.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,G,H,FG1,1,8640,上部,8.5,3.1,14.6,2.7,-2.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎梁応力表,case=EX+,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,
<data>,,,,,,,,,,,,,,,
1SL,A,7,8,FG1,1,6770,上部,-144.1,25.7,-92.8,-35,35,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,A,8,9,FG1,1,5940,上部,-97.9,-25.3,-148.5,-41.5,41.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,7,8,FG1,1,6770,上部,-146.1,26.1,-94,-35.5,35.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,8,9,FG1,1,5940,上部,-99.3,-25.7,-150.5,-42.1,42.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,7,8,FG1,1,6770,上部,-147.9,26.4,-95.2,-36,36,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,8,9,FG1,1,5940,上部,-100.5,-26,-152.4,-42.6,42.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,7,8,FG1,1,6770,上部,-150.4,26.8,-96.8,-36.5,36.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,8,9,FG1,1,5940,上部,-102.2,-26.4,-154.9,-43.3,43.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,7,8,FG1,1,6770,上部,-162.6,30.4,-102,-39.1,39.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,8,9,FG1,1,5940,上部,-101.6,-27.8,-157.1,-43.6,43.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,1,2,FG1,1,10644,上部,-142.9,20.2,-102.6,-23.1,23.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,2,3,FG1,1,8136,上部,-79.8,-1.4,-82.4,-20,20,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,3,4,FG1,1,7765,上部,-85.3,2.2,-81,-21.5,21.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,4,5,FG1,1,7765,上部,-87.5,-4.9,-97.2,-23.8,23.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,5,6,FG1,1,10750,上部,-92.8,-7.9,-108.6,-18.8,18.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,6,7,FG1,1,10760,上部,-58,29,0,-5.4,5.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,1,2,FG1,1,10644,上部,-163,-8.7,-180.3,-32.3,32.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,3,4,FG1,1,7765,上部,-187.7,-0.2,-188,-48.4,48.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,5,6,FG1,1,10750,上部,-194.7,-2,-198.5,-36.6,36.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,7,8,FG1,1,6770,上部,-195.3,42.2,-111,-45.3,45.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,8,9,FG1,1,5940,上部,-92.7,-33.6,-159.8,-42.5,42.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,1,2,FG1,1,10644,上部,-146.2,20.6,-105,-23.6,23.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,2,3,FG1,1,8136,上部,-81.6,-1.4,-84.4,-20.4,20.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,3,4,FG1,1,7765,上部,-87.1,2.4,-82.5,-21.9,21.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,4,5,FG1,1,7765,上部,-90.7,-5.8,-102.1,-24.9,24.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,5,6,FG1,1,10750,上部,-87.8,-3.6,-94.9,-17,17,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,6,7,FG1,1,10760,上部,-95,3.6,-87.9,-17,17,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,7,8,FG1,1,6770,上部,-103.9,13.6,-76.8,-26.7,26.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,8,9,FG1,1,5940,上部,-112.2,-24.6,-161.4,-46.1,46.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,F,G,FG1,1,7080,上部,-11.1,2.1,-7.1,-2.6,2.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,G,H,FG1,1,8640,上部,-6.5,-2.1,-10.5,-2,2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,F,G,FG1,1,7080,上部,-7.8,1.4,-5.1,-1.9,1.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,G,H,FG1,1,8640,上部,-5,-1.6,-8,-1.6,1.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,F,G,FG1,1,7080,上部,-5.8,1,-4,-1.4,1.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,G,H,FG1,1,8640,上部,-3.6,-1,-5.5,-1.1,1.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,F,G,FG1,1,7080,上部,-4,0.7,-2.7,-1,1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,G,H,FG1,1,8640,上部,-2.5,-0.7,-3.8,-0.8,0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,F,G,FG1,1,7080,上部,-2.4,0.5,-1.6,-0.6,0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,G,H,FG1,1,8640,上部,-1.4,-0.5,-2.3,-0.5,0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,F,G,FG1,1,7080,上部,0.2,-0.1,0.1,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,G,H,FG1,1,8640,上部,0.2,0.1,0.3,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,A,B,FG1,1,8645,上部,2.6,-0.4,1.9,0.6,-0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,B,C,FG1,1,8075,上部,1.3,0.1,1.3,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,C,D,FG1,1,10750,上部,1.8,0.4,2.5,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,D,E,FG1,1,10970,上部,0.3,-1.3,-2.3,-0.2,0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,E,F,FG1,1,2780,上部,6.6,-0.5,5.7,4.4,-4.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,F,G,FG1,1,7080,上部,-5.7,2.2,-1.5,-1,1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,G,H,FG1,1,8640,上部,4.6,-0.8,3,0.9,-0.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,A,B,FG1,1,8645,上部,4.7,0.3,5.1,1.2,-1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,C,D,FG2,1,10750,上部,5.1,0.1,5.2,1,-1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,E,G,FG2,1,9860,上部,4.8,-1,2.9,0.8,-0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,G,H,FG1,1,8640,上部,2.6,0.8,4.2,0.8,-0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,A,B,FG1,1,8645,上部,5.3,-0.8,3.8,1.1,-1.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,B,C,FG1,1,8075,上部,2.8,0.3,3.3,0.8,-0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,C,D,FG2,1,10750,上部,3,0.1,3.1,0.6,-0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,D,E,FG2,1,10970,上部,3.2,0.1,3.2,0.6,-0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,E,G,FG2,1,9860,上部,3,-0.3,2.6,0.6,-0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,G,H,FG1,1,8640,上部,4,0.8,5.5,1.1,-1.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎梁応力表,case=EX-,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,
<data>,,,,,,,,,,,,,,,
1SL,A,7,8,FG1,1,6770,上部,144.1,-25.7,92.8,35,-35,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,A,8,9,FG1,1,5940,上部,97.9,25.3,148.5,41.5,-41.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,7,8,FG1,1,6770,上部,146.1,-26.1,94,35.5,-35.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,8,9,FG1,1,5940,上部,99.3,25.7,150.5,42.1,-42.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,7,8,FG1,1,6770,上部,147.9,-26.4,95.2,36,-36,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,8,9,FG1,1,5940,上部,100.5,26,152.4,42.6,-42.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,7,8,FG1,1,6770,上部,150.4,-26.8,96.8,36.5,-36.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,8,9,FG1,1,5940,上部,102.2,26.4,154.9,43.3,-43.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,7,8,FG1,1,6770,上部,162.6,-30.4,102,39.1,-39.1,0,0,
