   54.4   39.9    4.5   -8.2  -18.5   -2.0    0.6  -11.7  -21.0  -30.3A   1   73
  -51.2  -72.7  -57.9  -26.6  -17.8    4.0    9.8   13.7   22.1   43.7A   1   74
    9.1  -54.8  -55.5  -24.3   -8.1   25.0   41.0   18.2   -2.7  -24.3A   1   75
   -1.5   24.7   48.2   78.3   62.2   33.1   -1.4  -19.5  -24.7  -21.2A   1   76
  -11.0    5.0   24.1   -3.4  -21.6  -47.1  -36.3  -19.5   -1.8   17.0A   1   77
   -8.0    0.5   23.0   37.4   60.1   51.6   43.2   34.4   50.5   65.3A   1   78
   68.3   17.2  -17.0  -52.7  -66.4  -38.7  -22.2   -3.3   11.9  -12.8A   1   79
  -35.1  -51.4  -33.5  -21.8   -1.2   14.2    7.0   -6.3  -12.0  -32.2A   1   80
  -34.6   -9.1    7.3   30.9   47.2   60.3   57.6   33.0   -7.3  -77.7A   1   81
  -60.8  -43.8  -20.9    3.1   35.0   29.3   12.1   33.8   31.7   25.4A   1   82
   20.6   19.8   17.4    2.1  -14.4  -34.3  -33.9  -14.5   -2.8   17.0A   1   83
   -9.6  -25.5  -27.9  -38.8  -24.2  -21.5  -18.2  -17.4   -3.8   -2.7A   1   84
  -18.5  -12.3    8.7   34.3   69.5   91.0   85.3   76.0   51.3   18.6A   1   85
    1.5  -19.0  -15.1   -7.3    2.1   12.9   21.5    2.4  -12.4  -32.9A   1   86
  -51.9  -70.8  -57.9  -46.2  -30.7  -14.5   -0.9  -18.0  -31.8  -46.5A   1   87
  -39.1  -34.5  -31.6  -43.5  -49.1  -47.5  -42.0  -36.1  -27.7  -25.8A   1   88
  -13.9   -6.8   50.7   72.2   87.8   78.2   76.5   43.9    8.0    1.3A   1   89
  -12.6   -1.5    3.0   10.4   10.4   19.3   20.5    7.4   -5.6   -7.2A   1   90
    7.0   10.6   14.7   -0.9  -15.9  -18.7   -0.7   15.5   10.5  -11.5A   1   91
  -30.2  -30.9   -9.5   -5.8    0.4    2.0    5.0    5.7    9.7   13.4A   1   92
   17.7   21.8   26.1   30.2   34.6   38.6   47.4   39.3   23.8   11.5A   1   93
   -7.9  -12.4    5.4    2.7  -25.0  -56.6  -63.0  -59.1  -41.3   -6.8A   1   94
   27.2   27.7   -2.1   -6.0  -11.0  -22.1  -41.6  -51.9  -22.2    3.0A   1   95
    7.9   13.9   17.1   25.3   32.3   39.1   16.4  -13.6  -32.3  -29.1A   1   96
  -28.7  -30.4  -33.9  -24.5   -7.6   12.5   37.6   40.2   24.5   15.6A   1   97
   -4.0  -15.3  -28.9  -31.6  -11.1    9.4   33.5   57.6   42.4   14.3A   1   98
   -0.7  -13.5  -27.0  -34.1  -35.7  -39.6  -40.2  -48.8  -48.0  -40.6A   1   99
  -40.7  -35.1  -18.7   -5.7    4.4   -1.9   -7.2  -16.9  -11.5   12.6A   1  100
   35.8   65.4   71.6   76.2   73.9   62.8   48.4   26.4   -4.4  -28.8A   1  101
  -38.4  -49.2  -42.8  -41.6  -27.6   -5.2   23.7   42.6   60.4   45.2A   1  102
   28.4   12.6   -5.4  -27.5  -42.3  -17.5    0.1   25.4   48.1   64.1A   1  103
   55.4   41.3   18.4   -4.8  -30.3  -53.1  -70.8  -92.8  -86.3  -63.1A   1  104
  -37.6    8.7   30.9   58.9   61.4   38.5   35.1   31.1   24.6    1.9A   1  105
  -19.8  -15.8   -1.5    9.9   28.6   40.8   56.3   53.1   31.4   16.5A   1  106
   -2.4  -18.9  -27.6  -37.1  -45.0  -53.4  -48.3  -37.9  -29.6  -19.6A   1  107
  -18.4  -15.9  -11.9   -5.3    0.2    5.9   -2.3  -11.2  -20.5  -32.2A   1  108
  -38.8  -34.1  -28.7  -32.8  -40.7  -48.7  -56.3  -64.4  -55.5  -44.6A   1  109
   -0.8   25.3   41.1   64.4   57.9   47.4   38.4   38.5   34.0   35.7A   1  110
    0.8  -25.4  -46.0  -47.1  -22.2   -6.5   16.4   35.5   50.4   37.1A   1  111
   28.0   15.8    4.1   -2.7    2.1    4.4    9.9   13.5    9.4    5.8A   1  112
    2.2   -3.1   -3.1    0.4   -2.5  -12.4  -23.5  -40.6  -53.0  -70.1A   1  113
  -32.3   -5.2    9.4   32.8   47.8   50.9   35.8   34.2   30.6   28.5A   1  114
   26.3   16.8   -0.5  -21.2  -36.5  -31.0  -29.7  -28.0  -23.7  -26.6A   1  115
  -30.8  -36.6  -35.7  -30.8  -19.3    1.9   19.6   16.0   12.9   14.0A   1  116
   11.0   10.8    9.2    8.9    1.9  -13.1  -24.7  -43.6  -43.2  -30.0A   1  117
  -19.2   -4.8    9.7   16.8   14.8   17.3    7.8   -5.8  -21.5  -23.4A   1  118
    6.0   26.2   26.9    8.4   -4.1  -22.7   -7.6    3.1   18.2   31.0A   1  119
   47.9   45.9   16.6   -5.8  -39.6  -44.4  -24.1  -10.1   21.7   26.1A   1  120
   12.1    0.8  -16.8  -38.2  -56.6  -78.1  -61.9  -25.6    4.4   45.6A   1  121
   78.3  110.3   95.3   48.9   12.2  -38.7  -84.6 -122.6  -86.4  -61.6A   1  122
  -22.8   15.0   47.7   32.3   24.8    9.5   22.7   33.8   50.5   59.4A   1  123
   51.9   55.2   59.5   61.7   59.3   46.6   15.8   -7.7  -23.0  -30.3A   1  124
  -32.9  -36.4  -49.0  -66.0  -72.3  -78.4  -84.6  -56.6  -20.9   12.8A   1  125
   38.1   48.8   36.3   25.0   15.8   37.7   59.4   63.0   37.0   21.7A   1  126
    4.0    2.3   -6.2  -28.6  -38.0  -45.7  -50.5  -77.7  -62.8  -18.9A   1  127
   18.9   50.9   74.4   74.9   56.2   45.5   52.5   63.5   73.1   85.1A   1  128
   92.7   97.5   92.9   81.4   26.4  -28.9  -90.1 -136.4  -85.9  -46.8A   1  129
    8.1   59.4   82.3   55.6   30.1   -1.1  -38.0  -34.7   -2.0   18.0A   1  130
   63.3  101.3  112.2  110.7   94.0   80.5   60.8   50.8   20.6  -20.1A   1  131
  -57.2 -102.1 -133.2 -122.5 -120.7 -100.6  -76.2  -54.8  -48.9  -40.5A   1  132
  -29.1  -17.6  -14.1   -9.8   -5.0    1.9    8.0    3.5   -2.9   -6.1A   1  133
   -3.4   -1.3    7.6   20.5   32.7   45.0   57.7   56.2   46.4   30.0A   1  134
   10.7   -0.4   -3.3   -6.9  -10.1  -20.1  -18.8    2.5   13.4   24.3A   1  135
   26.6   26.5   15.5   -1.9   -9.5  -21.6  -16.7  -12.0   -6.4  -12.9A   1  136
  -16.3  -19.3  -24.2  -23.6  -17.5  -12.4  -18.5  -26.5  -32.3  -33.6A   1  137
  -45.4  -43.0  -33.4  -21.3   -6.9    3.0    0.3   -9.3   -8.9  -15.0A   1  138
  -16.4  -23.8  -32.3  -42.1  -45.7  -39.7  -34.9  -25.8  -17.2   -2.0A   1  139
   15.6   28.4   36.2   35.4   26.9   10.1   -4.5  -12.5  -24.5  -22.9A   1  140
  -12.6   -6.8    1.8    9.3   20.0   28.6   36.5   31.1   18.1    2.4A   1  141
  -15.6  -31.9  -21.9  -11.8    1.5   15.3   29.8   24.3   13.6   10.2A   1  142
    2.4   -1.0   -2.3   -3.6   -4.8   -8.9  -15.5  -14.8   -7.6    0.0A   1  143
   -2.0  -14.8  -22.5  -37.4  -36.5  -25.1  -16.4   -1.4   15.3   30.2A   1  144
   39.3   40.6   38.5   32.9   18.3   12.5    7.0   -0.1   -6.8  -13.0A   1  145
  -12.8  -11.5  -10.2   -8.4  -14.1  -20.5  -26.9  -35.0  -35.9  -29.7A   1  146
  -22.7    1.8    9.9   20.3   25.6   19.9   16.0   10.7   15.6   19.8A   1  147
   24.2   14.1    5.5   -6.6   -9.7   -2.6    1.6   10.0    9.4    3.9A   1  148
    0.0   -6.6   -9.9  -10.9  -11.5  -13.1  -16.8  -19.9  -10.4   -1.0A   1  149
    5.5   12.9   20.0   19.9   16.9   14.3   10.9   12.8   15.2   13.7A   1  150
   11.7    9.7    6.0   -2.8   -5.0   -8.4  -17.8  -32.1  -42.0  -51.8A   1  151
  -47.2  -39.4  -29.0  -11.0    5.0   13.2   15.7   17.7   19.5   25.5A   1  152
   33.1   32.8   25.2   17.3    4.5   -8.5  -19.0  -22.9  -30.4  -27.7A   1  153
  -22.7  -17.4  -12.1  -12.6  -12.9   -8.0   -2.6    3.9    6.5    5.5A   1  154
    5.0    6.4   12.6   17.9   24.3   30.7   29.8   25.1   21.6   16.3A   1  155
   19.2   23.4   28.2   30.1   19.6   10.6   -3.9  -16.3  -32.2  -33.5A   1  156
  -21.9  -14.8   -1.0    1.1   -5.3  -10.1  -12.6  -14.3  -12.9  -10.4A   1  157
   -7.1   -1.8    3.3    8.5   15.8   23.9   31.9   34.1   31.8   21.3A   1  158
    7.3    0.9   -1.5   -4.7   -7.5  -12.1  -15.6  -11.6   -5.6   -0.6A   1  159
   -0.3   -0.3    1.4    4.6    7.2    8.6    9.8   12.4   14.7   17.2A   1  160
